url,city,price,price_per_sqm,description,street_name,street_number,area_m2,upload_date
https://www.myhome.ge/pr/20144539/iyideba-3-otaxiani-bina-qutaisshi/,ქუთაისი,"170,124","2,328 / მ²",იყიდება 3 ოთახიანი ბინა ქუთაისში,ზასტავა,ბუხაიძის ქ. 1ა,73.08მ²,30 ივნ 23:00
https://www.myhome.ge/pr/20143912/iyideba-2-otaxiani-bina-qutaisshi/,ქუთაისი,"111,600","2,328 / მ²",იყიდება 2 ოთახიანი ბინა ქუთაისში,ზასტავა,ბუხაიძის ქ. 1ა,47.94მ²,30 ივნ 23:00
https://www.myhome.ge/pr/21024955/qiravdeba-dghiurad-1-otaxiani-bina-qutaisshi/,ქუთაისი,70,,ქირავდება დღიურად 1 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 46,39მ²,30 ივნ 20:54
https://www.myhome.ge/pr/21024987/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,80,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 48,32მ²,30 ივნ 20:54
https://www.myhome.ge/pr/21024932/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,80,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 48,32მ²,30 ივნ 20:54
https://www.myhome.ge/pr/21024922/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,80,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 48,42მ²,30 ივნ 20:54
https://www.myhome.ge/pr/21025000/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,80,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 48,42მ²,30 ივნ 20:54
https://www.myhome.ge/pr/21024963/qiravdeba-dghiurad-1-otaxiani-bina-qutaisshi/,ქუთაისი,70,,ქირავდება დღიურად 1 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 46,39მ²,30 ივნ 20:54
https://www.myhome.ge/pr/21025037/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,50,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 46ა,38მ²,30 ივნ 20:54
https://www.myhome.ge/pr/21025021/qiravdeba-dghiurad-1-otaxiani-bina-qutaisshi/,ქუთაისი,60,,ქირავდება დღიურად 1 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 46ა,35მ²,30 ივნ 20:54
https://www.myhome.ge/pr/14441714/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,70,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,აღმაშენებელი,აღმაშენებლის გამზ.,48მ²,30 ივნ 20:53
https://www.myhome.ge/pr/20869865/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,80,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 48,42მ²,30 ივნ 20:53
https://www.myhome.ge/pr/17698853/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,80,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ.,42მ²,30 ივნ 20:53
https://www.myhome.ge/pr/15889919/qiravdeba-dghiurad-1-otaxiani-bina-qutaisshi/,ქუთაისი,60,,ქირავდება დღიურად 1 ოთახიანი ბინა ქუთაისში,აღმაშენებელი,აღმაშენებლის გამზ.,36მ²,30 ივნ 20:53
https://www.myhome.ge/pr/16671060/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,80,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,აღმაშენებელი,აღმაშენებლის გამზ.,37მ²,30 ივნ 20:53
https://www.myhome.ge/pr/17698874/qiravdeba-dghiurad-2-otaxiani-bina-qutaisshi/,ქუთაისი,80,,ქირავდება დღიურად 2 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 48,42მ²,30 ივნ 20:53
https://www.myhome.ge/pr/20450483/qiravdeba-dghiurad-1-otaxiani-bina-qutaisshi/,ქუთაისი,70,,ქირავდება დღიურად 1 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 46,39მ²,30 ივნ 20:53
https://www.myhome.ge/pr/12962077/qiravdeba-dghiurad-1-otaxiani-bina-qutaisshi/,ქუთაისი,60,,ქირავდება დღიურად 1 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ.,45მ²,30 ივნ 20:53
