url,city,price,price_per_sqm,description,district_name,street_address,area_m2,upload_date
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-3-otaxiani-bina-qutaisshi-21819150,ქუთაისი,442 $,7 $ /მ2,ქირავდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,მელიქიშვილი პ. ქ. 8ა,60,"13 ივლ, 11:36"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-1-otaxiani-bina-qutaisshi-21819137,ქუთაისი,203 $,6 $ /მ2,ქირავდება 1 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,თამარ მეფის ქ. 53,32,"13 ივლ, 11:32"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-qutaisshi-21819122,ქუთაისი,350 $,10 $ /მ2,ქირავდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,რუსთაველი შ. გამზირი 24,36,"13 ივლ, 11:23"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-4-otaxiani-bina-qutaisshi-21819116,ქუთაისი,331 $,3 $ /მ2,ქირავდება 4 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,შარტავა ჟ. ქ. 1,95,"13 ივლ, 11:19"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-qutaisshi-21819100,ქუთაისი,442 $,8 $ /მ2,ქირავდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,თამარ მეფის ქ. 10,55,"13 ივლ, 11:07"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-1-otaxiani-bina-qutaisshi-21818764,ქუთაისი,276 $,8 $ /მ2,ქირავდება 1 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,აღმაშენებლის გამზ. 136,36,"13 ივლ, 01:27"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-2-otaxiani-bina-qutaisshi-21818644,ქუთაისი,46000 $,"1,314 $ /მ2",იყიდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,გამსახურდია ზ. გამზ. 40,35,"12 ივლ, 23:38"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-qutaisshi-21818630,ქუთაისი,313 $,6 $ /მ2,ქირავდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,გელათის ქ. 28,50,"12 ივლ, 23:24"
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-qutaisshi-21818530,ქუთაისი,295 $,5 $ /მ2,ქირავდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ჭავჭავაძე ზ. ქ. 22,65,"12 ივლ, 22:40"
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-qutaisshi-21818087,ქუთაისი,47000 $,553 $ /მ2,იყიდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,თაბუკაშვილის ქ. 18,85,"12 ივლ, 19:14"
