url,city,price,price_per_sqm,description,district_name,street_address,area_m2,upload_date,transaction_type
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-qutaisshi-21820645,ქუთაისი,69000.0,932.0,იყიდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ბუკიას ქ.,74.0,2025-07-13 16:33,იყიდება
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-3-otaxiani-bina-qutaisshi-21819920,ქუთაისი,71545.0,950.0,იყიდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ჯავახიშვილი ი. ქუჩა 20ა,75.31,2025-07-13 14:23,იყიდება
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-1-otaxiani-bina-qutaisshi-21819796,ქუთაისი,31500.0,1050.0,იყიდება 1 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,სადგურის ქ. 3,30.0,2025-07-13 13:54,იყიდება
https://livo.ge/udzravi-qoneba/iyideba-bina/iyideba-4-otaxiani-bina-qutaisshi-21819359,ქუთაისი,67000.0,957.0,იყიდება 4 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,თაბუკაშვილის ქ. 205,70.0,2025-07-13 12:31,იყიდება
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-3-otaxiani-bina-qutaisshi-21819290,ქუთაისი,368.0,6.0,ქირავდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,ბუხაიძის ქ.,65.0,2025-07-13 12:14,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-qutaisshi-21819274,ქუთაისი,295.0,6.0,ქირავდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,თბილისის ქ.,50.0,2025-07-13 12:10,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-3-otaxiani-bina-qutaisshi-21819165,ქუთაისი,368.0,4.0,ქირავდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,აღმაშენებლის გამზ. 81,100.0,2025-07-13 11:43,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-3-otaxiani-bina-qutaisshi-21819150,ქუთაისი,442.0,7.0,ქირავდება 3 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,მელიქიშვილი პ. ქ. 8ა,60.0,2025-07-13 11:36,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-1-otaxiani-bina-qutaisshi-21819137,ქუთაისი,203.0,6.0,ქირავდება 1 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,თამარ მეფის ქ. 53,32.0,2025-07-13 11:32,ქირავდება თვიურად
https://livo.ge/udzravi-qoneba/qiravdeba-bina/qiravdeba-2-otaxiani-bina-qutaisshi-21819122,ქუთაისი,350.0,10.0,ქირავდება 2 ოთახიანი ბინა ქუთაისში,არ არის მოწოდებული,რუსთაველი შ. გამზირი 24,36.0,2025-07-13 11:23,ქირავდება თვიურად
